DDCTransactionId0AF557964B06F8D142FFD1BF57E35D64_9, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_49EBE4F9430B027F3639729C4CE02__349CA13B15B01E106858DDDD0E3E3396DA218D6D, StartTime=2016.05.15-16.55.24, HierarchicalDDC=, DataSize=65799, Duration=0.034034, RunGuid=RunID98B41DE54EC4EC975FEA53B4D275199B
DDCTransactionId0AF557964B06F8D142FFD1BF57E35D64_10, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_49EBE4F9430B027F3639729C4CE02__AC9285A4DAFDC0716DEF13130A9B06B3FE11A1AD, StartTime=2016.05.15-16.55.24, HierarchicalDDC=, DataSize=16647, Duration=0.016864, RunGuid=RunID98B41DE54EC4EC975FEA53B4D275199B
DDCTransactionIdF38F1E1841761DD9F327269F17707E43_5, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_49EBE4F9430B027F3639729C4CE02__6569745CA631A9E5DFDCBA9FC53A8671E25127CD, StartTime=2016.05.15-16.55.24, HierarchicalDDC=, DataSize=6899, Duration=0.028912, RunGuid=RunID98B41DE54EC4EC975FEA53B4D275199B
DDCTransactionId8193F6DE46E4E2E7B34A0A9965EEACE1_7, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_9D79806F4FC0A8F037E5F6AFD2EE46E8_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000000000000000100000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.15-16.55.24, Duration=18.597208, RunGuid=RunID98B41DE54EC4EC975FEA53B4D275199B
DDCTransactionIdF8A3549A44B1C71ABC889B8229B7E756_14, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_9D79806F4FC0A8F037E5F6AFD2EE46E8___22817D37760A7F9C8F40F845F65CB9EC772EBB0F, StartTime=2016.05.15-16.55.24, HierarchicalDDC=, DataSize=262403, Duration=0.109628, RunGuid=RunID98B41DE54EC4EC975FEA53B4D275199B
DDCTransactionIdF38F1E1841761DD9F327269F17707E43_6, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_9D79806F4FC0A8F037E5F6AFD2EE46E8___4F34334FA6A9D9F791DB345AD97BBCBD69A1192B, StartTime=2016.05.15-16.55.24, HierarchicalDDC=, DataSize=65795, Duration=0.040960, RunGuid=RunID98B41DE54EC4EC975FEA53B4D275199B
DDCTransactionIdF8A3549A44B1C71ABC889B8229B7E756_15, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_9D79806F4FC0A8F037E5F6AFD2EE46E8___F709916AAEE2E75162D4B5C090FCD68C14DACFED, StartTime=2016.05.15-16.55.24, HierarchicalDDC=, DataSize=16643, Duration=0.016265, RunGuid=RunID98B41DE54EC4EC975FEA53B4D275199B
DDCTransactionIdF38F1E1841761DD9F327269F17707E43_7, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_9D79806F4FC0A8F037E5F6AFD2EE46E8___16038ABA287E49944BE289986A4BB06926AA464A, StartTime=2016.05.15-16.55.24, HierarchicalDDC=, DataSize=6882, Duration=0.020783, RunGuid=RunID98B41DE54EC4EC975FEA53B4D275199B
CookerStat, GenerateAssetRegistry=0.020783, Initialize=0.132218, RunGuid=RunID98B41DE54EC4EC975FEA53B4D275199B
DDCTransactionIdF8A3549A44B1C71ABC889B8229B7E756_16, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_8088B1A74BD2B3914C4566ACDC139DA__199C7B2456D098DF9964A9987110AF7C33DBFB8E, StartTime=2016.05.15-16.55.33, HierarchicalDDC=, DataSize=840, Duration=2.194960, RunGuid=RunID98B41DE54EC4EC975FEA53B4D275199B
SavePackageTransactionId5C9963994CCBAD3BFCD1E39720CDBDE7_0, Filename=F:/Project/Unreal/XiSheng02/Content/StarterContent/Architecture/Floor_400x400.uasset, AutoPackageBackupDelegate=2.354577, FlushAsyncLoading=0.005722, FlushStreamingFunc=0.105713, BlockTillAllRequestsFinished=0.049394, ResetLoadersForSaveUnMarkAllObjects=1.772713, TagPackageExports=0.052705, BeginCacheForCookedPlatformData=0.001509, SerializeImports=1.164038, GatherLocalizableTextData=0.984538, MarkNames=0.008732, SerializeSummary=0.311717, SerializeNames=0.087339, SerializeGatherableTextData=0.002410, BuildExportMap=0.023190, SortExportsNonSeekfree=0.274669, SortExportsSeekfreeConstructor=0.644214, SortExportsSeekfreeInner=0.819795, SortExportsSeekfree=0.003312, BuildDependencyMap=0.242144, SerializeImportMap=0.007831, SerializeExportMap=0.005122, SerializeDependencyMap=0.001807, SerializeStringAssetReferenceMap=0.001807, SaveThumbNailsAssetRegistryDataWorldLevelInfo=7.866372, SerializeExports=0.178598, SerializeBulkData=0.022285, MoveFile=1.179699, UnaccountedTime=5.712673, RunGuid=RunID98B41DE54EC4EC975FEA53B4D275199B
DDCTransactionId8193F6DE46E4E2E7B34A0A9965EEACE1_8, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_748D4F054C3030AC8888BEA1993C93A6_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.15-16.55.35, Duration=0.737272, RunGuid=RunID98B41DE54EC4EC975FEA53B4D275199B
DDCTransactionIdF8A3549A44B1C71ABC889B8229B7E756_17, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_748D4F054C3030AC8888BEA1993C93A__79AB56B57296E31CDFFE8867020509D14A699B71, StartTime=2016.05.15-16.55.35, HierarchicalDDC=, DataSize=16644, Duration=2.693705, RunGuid=RunID98B41DE54EC4EC975FEA53B4D275199B
DDCTransactionId0AF557964B06F8D142FFD1BF57E35D64_11, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_748D4F054C3030AC8888BEA1993C93A__66191627C7E8A6B05447BCF1CE20A881815777A9, StartTime=2016.05.15-16.55.35, HierarchicalDDC=, DataSize=8452, Duration=2.891574, RunGuid=RunID98B41DE54EC4EC975FEA53B4D275199B
DDCTransactionIdF38F1E1841761DD9F327269F17707E43_8, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_748D4F054C3030AC8888BEA1993C93A__3CE5BB905F1CC7D022240CF4A01B36E9E7C46A6B, StartTime=2016.05.15-16.55.35, HierarchicalDDC=, DataSize=4356, Duration=2.719302, RunGuid=RunID98B41DE54EC4EC975FEA53B4D275199B
DDCTransactionIdF8A3549A44B1C71ABC889B8229B7E756_18, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_748D4F054C3030AC8888BEA1993C93A__7DAF3DF355D8ACA90C304E71CC15E2C8EEEC3DAF, StartTime=2016.05.15-16.55.35, HierarchicalDDC=, DataSize=2307, Duration=2.242543, RunGuid=RunID98B41DE54EC4EC975FEA53B4D275199B
DDCTransactionIdF38F1E1841761DD9F327269F17707E43_9, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_748D4F054C3030AC8888BEA1993C93A__AB11C0D74FF631D42824FDEC2F244CADF6A908B6, StartTime=2016.05.15-16.55.35, HierarchicalDDC=, DataSize=1283, Duration=2.402164, RunGuid=RunID98B41DE54EC4EC975FEA53B4D275199B
DDCTransactionId0AF557964B06F8D142FFD1BF57E35D64_12, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_748D4F054C3030AC8888BEA1993C93A__CED1D83E3FD3B0CB7BD9AA620DC7BDA967EECCBE, StartTime=2016.05.15-16.55.35, HierarchicalDDC=, DataSize=771, Duration=2.169959, RunGuid=RunID98B41DE54EC4EC975FEA53B4D275199B
DDCTransactionIdF8A3549A44B1C71ABC889B8229B7E756_19, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_748D4F054C3030AC8888BEA1993C93A__A72DE74243C3FF2060D178C8A85568CB313921EB, StartTime=2016.05.15-16.55.35, HierarchicalDDC=, DataSize=2785, Duration=2.279285, RunGuid=RunID98B41DE54EC4EC975FEA53B4D275199B
